SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,821,4499,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,617,3498,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,510,2640,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,467,2588,TRUE,FALSE,FALSE
BE2500121,Westkust,A,450,2295,TRUE,FALSE,FALSE
BE2500002,Polders,B,430,1827,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,409,1810,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,403,1851,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,401,2087,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,393,2017,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,384,1696,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,373,1495,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,371,1773,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,368,1615,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,362,1812,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,361,1807,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,357,1689,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,345,1662,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,339,1672,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,337,1564,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,335,1405,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,319,1568,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,283,1205,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,282,1203,TRUE,FALSE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,252,1169,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,246,1127,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,246,1057,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,245,900,TRUE,FALSE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,242,1094,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,238,977,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,231,1076,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,231,941,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,230,961,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,227,1012,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,217,904,TRUE,FALSE,FALSE
BE2500003,Westvlaams Heuvelland,B,212,804,TRUE,FALSE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,209,752,TRUE,FALSE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,207,838,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,204,811,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,199,737,TRUE,FALSE,FALSE
BE2501033,Het Zwin,A,198,748,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,193,812,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,192,719,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,191,844,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,187,757,TRUE,FALSE,FALSE
BE2400008,Zoniënwoud,B,186,740,TRUE,FALSE,FALSE
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",B,183,697,TRUE,FALSE,FALSE
BE2100015,Kalmthoutse Heide,B,175,771,TRUE,FALSE,FALSE
BE2200039,Voerstreek,B,175,754,TRUE,FALSE,FALSE
BE2200626,De Maten,A,172,634,TRUE,FALSE,FALSE
BE2200028,De Maten,B,172,619,TRUE,FALSE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,166,535,TRUE,FALSE,FALSE
BE2200041,Jekervallei en bovenloop van de Demervallei,B,165,666,TRUE,FALSE,FALSE
BE2301134,Krekengebied,A,165,616,TRUE,FALSE,FALSE
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,B,159,690,TRUE,FALSE,FALSE
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,B,159,482,TRUE,FALSE,FALSE
