key	nubKey	scientificName	datasetKey	species	genus	family	order	class	phylum	kingdom	rank	speciesKey	taxonomicStatus	acceptedKey	accepted	locationId	locality	country	status	first_observed	last_observed	establishmentMeans	invasion stage	native range	degree of establishment	habitat	marine	freshwater	terrestrial	source	pathway_level1	pathway_level2	canonicalName
152543101	5740285	Gyrodactylus proterorhini Ergens, 1967	6d9e952f-948c-4483-9807-575348147c7e	Gyrodactylus proterorhini	Gyrodactylus	Gyrodactylidae	Gyrodactylidea	Monogenea	Platyhelminthes	Animalia	SPECIES	152543101	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2011	2018	INTRODUCED	established			freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437718: Gyrodactylus proterorhini Ergens, 1967 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	contaminant	animal_parasite	Gyrodactylus proterorhini
152543102	3202936	Aphanomyces astaci Schikora	6d9e952f-948c-4483-9807-575348147c7e	Aphanomyces astaci	Aphanomyces	Leptolegniaceae	Saprolegniales	Peronosporea	Oomycota	Chromista	SPECIES	152543102	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2018	2018	INTRODUCED		North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437689: Aphanomyces astaci Schikora in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	contaminant	animal_parasite	Aphanomyces astaci
152543110	5179027	Scutigera coleoptrata Linnaeus, 1758	6d9e952f-948c-4483-9807-575348147c7e	Scutigera coleoptrata	Scutigera	Scutigeridae	Scutigeromorpha	Chilopoda	Arthropoda	Animalia	SPECIES	152543110	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1830	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437991: Scutigera coleoptrata (Linnaeus 1758) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Scutigera coleoptrata
152543115	5250069	Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piatek	6d9e952f-948c-4483-9807-575348147c7e	Thecaphora oxalidis	Thecaphora	Glomosporiaceae	Urocystidales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543115	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2014	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437775: Thecaphora oxalidis (Ellis & Tracy) M. Lutz, R. Bauer & Piątek in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Thecaphora oxalidis
152543120	4985072	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	6d9e952f-948c-4483-9807-575348147c7e	Tricellaria inopinata	Tricellaria	Candidae	Cheilostomatida	Gymnolaemata	Bryozoa	Animalia	SPECIES	152543120	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2011	2018	INTRODUCED		North Pacific Ocean		marine|freshwater	TRUE	TRUE	FALSE	https://www.gbif.org/species/148437687: Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Tricellaria inopinata
152543121	5250090	Urocystis trollii Nannf.	6d9e952f-948c-4483-9807-575348147c7e	Urocystis trollii	Urocystis	Urocystidaceae	Urocystidales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543121	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1894	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437729: Urocystis trollii Nannf. in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Urocystis trollii
152543128	2557730	Sporisorium destruens (Schltdl.) Vánky	6d9e952f-948c-4483-9807-575348147c7e	Sporisorium destruens	Sporisorium	Ustilaginaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543128	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1899	2018	INTRODUCED				terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437761: Sporisorium destruens (Schltdl.) Vánky in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Sporisorium destruens
152543131	2557469	Ustilago maydis (DC.) Corda	6d9e952f-948c-4483-9807-575348147c7e	Ustilago maydis	Ustilago	Ustilaginaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Fungi	SPECIES	152543131	ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	1968	2010	INTRODUCED	established			terrestrial	FALSE	FALSE	TRUE	https://www.gbif.org/species/148437766: Ustilago maydis (DC.) Corda in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs			Ustilago maydis
152543132	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	6d9e952f-948c-4483-9807-575348147c7e		Graptemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437889: Graptemys pseudogeographica subsp. kohnii (Baur, 1890) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	escape	pet	Graptemys pseudogeographica kohnii
152543132	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	6d9e952f-948c-4483-9807-575348147c7e		Graptemys	Emydidae	Testudines	Reptilia	Chordata	Animalia	SUBSPECIES		ACCEPTED			ISO_3166-2:BE	Belgium	BE	PRESENT	2005	2018	INTRODUCED	introduced	North America		freshwater	FALSE	TRUE	FALSE	https://www.gbif.org/species/148437889: Graptemys pseudogeographica subsp. kohnii (Baur, 1890) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2018). Ad hoc checklist of alien species in Belgium. Version 1.2. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	release	other	Graptemys pseudogeographica kohnii
